   n, insertion_cmp, insertion_swaps, insertion_time, Mergesort_cmp, Mergesort_swaps, Mergesort_time, Bubblesort_cmp, Bubblesort_swaps, Bubblesort_time
 530,         68637,           68114,            202,         15981,            4806,            138,         211204,            61469,             505
 531,         69139,           68615,            207,         15991,            4817,            144,         211734,            61734,             574
 532,         69502,           68977,            256,         16023,            4828,            144,         212799,            62073,             542
 533,         69919,           69393,            198,         16057,            4839,            146,         213331,            62339,             539
 534,         70080,           69553,            201,         16096,            4850,            125,         214400,            62574,             576
 535,         70591,           70063,            153,         16140,            4861,             83,         214934,            62841,             358
 536,         70701,           70172,            192,         16132,            4872,            165,         216007,            63026,             541
 537,         70708,           70178,            187,         16156,            4883,            144,         216543,            63032,             535
 538,         70864,           70333,            276,         16191,            4894,            150,         217620,            63263,             580
 539,         71311,           70779,            188,         16249,            4905,            156,         218158,            63532,             574
 540,         71551,           71018,            598,         16313,            4916,            170,         219239,            63848,            1310
 541,         71690,           71156,            167,         16360,            4927,            182,         219779,            63986,             735
 542,         72072,           71537,            757,         16387,            4938,            191,         220864,            64334,             905
 543,         72551,           72015,            168,         16404,            4949,            147,         221406,            64605,            1804
 544,         72660,           72123,            200,         16490,            4960,            164,         222495,            64791,             690
 545,         73016,           72478,            220,         16527,            4971,            147,         223039,            65063,             941
 546,         73377,           72838,            189,         16507,            4982,             85,         224132,            65415,             569
 547,         73392,           72852,            203,         16557,            4993,            147,         224678,            65429,             741
 548,         73399,           72858,            228,         16611,            5004,            162,         225775,            65514,             560
 549,         73823,           73281,            233,         16636,            5015,            172,         226323,            65788,             582
 550,         74018,           73475,            193,         16676,            5026,            156,         227424,            66062,             361
 551,         74291,           73747,            314,         16709,            5037,            356,         227974,            66334,             981
 552,         74371,           73826,            214,         16721,            5048,            107,         229079,            66493,             350
 553,         74564,           74018,            201,         16750,            5059,            162,         229631,            66685,             493
 554,         74914,           74367,            161,         16779,            5070,            110,         230740,            67042,             351
 555,         75396,           74848,            144,         16828,            5081,            113,         231294,            67319,             357
 556,         75576,           75027,            157,         16882,            5092,             85,         232407,            67578,             356
 557,         76119,           75569,            167,         16895,            5103,            107,         232963,            67856,             354
 558,         76129,           75578,            159,         16881,            5114,             85,         234080,            67946,             356
 559,         76681,           76129,            159,         16958,            5125,            106,         234638,            68225,             884
 560,         76863,           76310,            174,         16977,            5136,             88,         235759,            68488,             368
 561,         77067,           76513,            148,         17016,            5147,            100,         236319,            68691,             386
 562,         77201,           76646,            147,         17045,            5158,             85,         237444,            68905,             359
 563,         77480,           76924,            184,         17121,            5169,             91,         238006,            69183,             360
 564,         77896,           77339,            162,         17110,            5180,             85,         239135,            69545,             432
 565,         78429,           77871,            175,         17154,            5191,             86,         239699,            69827,             364
 566,         78465,           77906,            157,         17205,            5202,             86,         240832,            69944,             381
 567,         78692,           78132,            150,         17238,            5213,             85,         241398,            70170,             373
 568,         78735,           78174,            283,         17285,            5224,            228,         242535,            70294,             813
 569,         79248,           78686,            170,         17323,            5235,             88,         243103,            70578,             374
 570,         79483,           78920,           1219,         17324,            5246,            158,         244244,            70895,             811
 571,         79918,           79354,            243,         17371,            5257,            150,         244814,            71180,             661
 572,         80441,           79876,            274,         17457,            5268,            129,         245959,            71549,            1316
 573,         80799,           80233,            243,         17476,            5279,            124,         246531,            71835,             376
 574,         81321,           80754,            173,         17533,            5290,             88,         247680,            72206,             384
 575,         81779,           81211,            172,         17530,            5301,             98,         248254,            72493,             373
 576,         82153,           81584,            181,         17544,            5312,             87,         249407,            72867,             374
 577,         82670,           82100,            171,         17585,            5323,            100,         249983,            73155,             384
 578,         83164,           82593,            159,         17623,            5334,             86,         251140,            73532,             389
 579,         83188,           82616,            169,         17656,            5345,             87,         251718,            73555,             382
 580,         83543,           82970,            175,         17699,            5356,             88,         252879,            73933,            3206
 581,         83801,           83227,            259,         17724,            5367,           5258,         253459,            74190,             586
 582,         84361,           83786,            268,         17791,            5378,            182,         254624,            74570,             523
 583,         84648,           84072,            194,         17799,            5389,             90,         255206,            74856,             384
 584,         84660,           84083,            161,         17874,            5400,             97,         256375,            74957,             408
 585,         84829,           84251,            162,         17897,            5411,             87,         256959,            75125,             407
 586,         85383,           84804,            163,         17934,            5422,             89,         258132,            75508,             400
 587,         85563,           84983,            163,         17966,            5433,             98,         258718,            75687,             385
